Name,Best_Resolution,Memory_Bandwidth,Memory_Speed,Manufacturer,Release_Price,Core_Speed_Value,Core_Speed_Unit,Max_Power_Value,Max_Power_Unit,Memory_Value,Memory_Unit,Release_Year
Radeon R9 390X Crossfire,8294400,768GB/sec,1500 MHz,AMD,858,1050,MHz,550,Watts,16384,MB,2015
Radeon R9 390X Asus DirectCU III Strix Gaming OC 8GB Edition,4096000,384GB/sec,1500 MHz,AMD,,1070,MHz,375,Watts,8192,MB,2015
Radeon R9 390X Club3D royalQueen OC 8GB Edition,4096000,384GB/sec,1500 MHz,AMD,,1060,MHz,300,Watts,8192,MB,2015
Radeon R9 390 XFX Double Dissipation 8GB Edition,3686400,384GB/sec,1500 MHz,AMD,,1000,MHz,275,Watts,8192,MB,2015
Radeon R9 390X,4096000,384GB/sec,1500 MHz,AMD,429,1050,MHz,275,Watts,8192,MB,2015
Radeon R9 390 PowerColor PCS+ 8GB Edition,3686400,384GB/sec,1500 MHz,AMD,,1010,MHz,300,Watts,8192,MB,2015
Radeon R9 390X Asus DirectCU II 8GB Edition,4096000,384GB/sec,1500 MHz,AMD,429,1050,MHz,275,Watts,8192,MB,2015
Radeon R9 390 Sapphire Nitro 8GB Edition,3686400,384GB/sec,1500 MHz,AMD,329,1010,MHz,375,Watts,8192,MB,2015
Radeon R9 390 Sapphire Nitro w/ Back Plate 8GB Edition,3686400,384GB/sec,1500 MHz,AMD,,1040,MHz,375,Watts,8192,MB,2015
Radeon R9 390 Gigabyte G1 Gaming 8GB Edition,3686400,384GB/sec,1500 MHz,AMD,329,1025,MHz,275,Watts,8192,MB,2015
Radeon R9 390 MSI Gaming 8GB Edition,3686400,390.4GB/sec,1525 MHz,AMD,329,1060,MHz,275,Watts,8192,MB,2015
Radeon R9 390 Crossfire,8294400,768GB/sec,1500 MHz,AMD,658,1000,MHz,550,Watts,16384,MB,2015
Radeon R9 390 PowerColor Devil 13 Dual Core 16GB Edition,8294400,691.2GB/sec,1350 MHz,AMD,799.99,1000,MHz,580,Watts,16384,MB,2015
Radeon R9 390 Asus DirectCU III OC Strix Gaming 8GB Edition,3686400,384GB/sec,1500 MHz,AMD,,1050,MHz,300,Watts,8192,MB,2015
Radeon R9 380X XFX Double Dissipation Black OC 4GB Edition,2073600,185.6GB/sec,1450 MHz,AMD,289.99,1030,MHz,225,Watts,4096,MB,2015
Radeon R9 390 Gigabyte G1 Gaming 8GB Edition Crossfire,8294400,768GB/sec,1500 MHz,AMD,658,1025,MHz,550,Watts,16384,MB,2015
Radeon R9 380X XFX Double Dissipation XXX OC 4GB Edition,2073600,182.4GB/sec,1425 MHz,AMD,229.99,990,MHz,190,Watts,4096,MB,2015
Radeon R9 390,3686400,384GB/sec,1500 MHz,AMD,329,1000,MHz,275,Watts,8192,MB,2015
Radeon R9 390 Club3D royalQueen OC 8GB Edition,3686400,384GB/sec,1500 MHz,AMD,419,1010,MHz,300,Watts,8192,MB,2015
Radeon R9 380X Sapphire Nitro 4GB Edition,2073600,192GB/sec,1500 MHz,AMD,249.99,1040,MHz,225,Watts,4096,MB,2015
Radeon R9 380X HIS IceQ X² Turbo 4GB Edition,2073600,182.4GB/sec,1425 MHz,AMD,,1020,MHz,190,Watts,4096,MB,2015
Radeon R9 390 Asus DirectCU II 8GB Edition,3686400,384GB/sec,1500 MHz,AMD,329,1000,MHz,300,Watts,8192,MB,2015
Radeon R9 380X HIS IceQ X² OC 4GB Edition,2073600,182.4GB/sec,1425 MHz,AMD,,990,MHz,190,Watts,4096,MB,2015
Radeon R9 380X PowerColor PCS+ Myst. 4GB Edition,2073600,188.8GB/sec,1475 MHz,AMD,,1020,MHz,225,Watts,4096,MB,2015
Radeon R9 380X Gigabyte Gaming G1 4GB Edition,2073600,182.4GB/sec,1425 MHz,AMD,249.99,980,MHz,190,Watts,4096,MB,2015
Radeon R9 380X Asus DirectCU II Strix Gaming 4GB Edition,2073600,182.4GB/sec,1425 MHz,AMD,229,970,MHz,190,Watts,4096,MB,2015
Radeon R9 380X,2073600,182.4GB/sec,1425 MHz,AMD,229,970,MHz,190,Watts,4096,MB,2015
Radeon R9 380 Sapphire ITX Compact OC 2GB Edition,2073600,176GB/sec,1375 MHz,AMD,239,980,MHz,225,Watts,2048,MB,2015
Radeon R9 380X Asus DirectCU II OC Strix Gaming 4GB Edition,2073600,182.4GB/sec,1425 MHz,AMD,239.99,1030,MHz,190,Watts,4096,MB,2015
Radeon R9 380 XFX Double Dissipation 4GB Edition,2073600,182.4GB/sec,1425 MHz,AMD,,990,MHz,190,Watts,4096,MB,2015
Radeon R9 380 PowerColor PCS+ 2GB Edition,2073600,188.8GB/sec,1475 MHz,AMD,,980,MHz,190,Watts,2048,MB,2015
Radeon R9 380 PowerColor PCS+ 4GB Edition,2073600,188.8GB/sec,1475 MHz,AMD,,980,MHz,190,Watts,4096,MB,2015
Radeon R9 380 Sapphire Nitro 4GB Edition,2073600,185.6GB/sec,1450 MHz,AMD,219,985,MHz,225,Watts,4096,MB,2015
Radeon R9 380 HIS IceQ X² OC 4GB Edition,2073600,182.4GB/sec,1425 MHz,AMD,,990,MHz,190,Watts,4096,MB,2015
Radeon R9 380 Sapphire Dual-X OC 2GB Edition,2073600,176GB/sec,1375 MHz,AMD,229,985,MHz,225,Watts,2048,MB,2015
Radeon R9 380 MSI OC 2GB Edition,2073600,176GB/sec,1375 MHz,AMD,199,980,MHz,190,Watts,2048,MB,2015
Radeon R9 380 MSI Gaming 4GB Edition,2073600,185.6GB/sec,1450 MHz,AMD,239,1000,MHz,190,Watts,4096,MB,2015
Radeon R9 380 HIS IceQ X² 4GB Edition,2073600,182.4GB/sec,1425 MHz,AMD,,990,MHz,190,Watts,4096,MB,2015
Radeon R9 380 Gigabyte WindForce 2X OC (rev 1.0) 2GB Edition,2073600,176GB/sec,1375 MHz,AMD,209,980,MHz,190,Watts,2048,MB,2015
Radeon R9 380 MSI Gaming 2GB Edition,2073600,179.2GB/sec,1400 MHz,AMD,239,1000,MHz,190,Watts,2048,MB,2015
Radeon R9 380 Crossfire,4096000,352GB/sec,1375 MHz,AMD,398,970,MHz,400,Watts,4096,MB,2015
Radeon R9 380 Gigabyte G1 Gaming 4GB Edition,2073600,182.4GB/sec,1425 MHz,AMD,229,990,MHz,190,Watts,4096,MB,2015
Radeon R9 380 (OEM),2073600,176GB/sec,1375 MHz,AMD,,918,MHz,190,Watts,2048,MB,2015
Radeon R9 380 Club3D royalQueen OC 4GB Edition,2073600,188.8GB/sec,1475 MHz,AMD,279,980,MHz,190,Watts,4096,MB,2015
Radeon R9 380 Asus DirectCU II OC Strix Gaming 2GB Edition,2073600,176GB/sec,1375 MHz,AMD,,990,MHz,190,Watts,2048,MB,2015
Radeon R9 370 (OEM),2073600,179.2GB/sec,1400 MHz,AMD,,925,MHz,150,Watts,2048,MB,2015
Radeon R7 370 Sapphire Nitro 4GB Edition Crossfire,2073600,358.4GB/sec,1400 MHz,AMD,,985,MHz,300,Watts,8192,MB,2015
Radeon R9 370X,2073600,179.2GB/sec,1400 MHz,AMD,199,1000,MHz,180,Watts,2048,MB,2015
Radeon R9 380,2073600,176GB/sec,1375 MHz,AMD,199,970,MHz,190,Watts,2048,MB,2015
Radeon R7 370 Sapphire Nitro 2GB Edition,1440000,179.2GB/sec,1400 MHz,AMD,,985,MHz,150,Watts,2048,MB,2015
Radeon R7 370 MSI Gaming 4GB Edition Crossfire,2073600,364.8GB/sec,1425 MHz,AMD,,1020,MHz,220,Watts,8192,MB,2015
Radeon R7 370 Sapphire Dual-X OC 2GB Edition,1440000,179.2GB/sec,1400 MHz,AMD,154,985,MHz,150,Watts,2048,MB,2015
Radeon R7 370 Sapphire Nitro 4GB Edition,1440000,179.2GB/sec,1400 MHz,AMD,174,985,MHz,150,Watts,4096,MB,2015
Radeon R7 370 MSI OC 2GB Edition,1440000,179.2GB/sec,1400 MHz,AMD,154,970,MHz,110,Watts,2048,MB,2015
Radeon R7 370 PowerColor PCS+ 2GB Edition,1440000,182.4GB/sec,1425 MHz,AMD,,935,MHz,110,Watts,2048,MB,2015
Radeon R9 380 Asus DirectCU II OC Strix Gaming 4GB Edition,2073600,176GB/sec,1375 MHz,AMD,,990,MHz,190,Watts,4096,MB,2015
Radeon R7 370 MSI Gaming 4GB Edition,1440000,182.4GB/sec,1425 MHz,AMD,184,1020,MHz,110,Watts,4096,MB,2015
Radeon R9 360 (OEM),1440000,104GB/sec,1625 MHz,AMD,,1000,MHz,85,Watts,2048,MB,2015
Radeon R7 370 MSI Gaming 2GB Edition,1440000,182.4GB/sec,1425 MHz,AMD,159,1000,MHz,110,Watts,2048,MB,2015
Radeon R7 370 Crossfire,2073600,358.4GB/sec,1400 MHz,AMD,298,925,MHz,225,Watts,4096,MB,2015
Radeon R7 370 Asus DirectCU II OC Strix Gaming 4GB Edition,1440000,179.2GB/sec,1400 MHz,AMD,,1000,MHz,150,Watts,4096,MB,2015
Radeon R7 360X [not released],1440000,104GB/sec,1625 MHz,AMD,129,1100,MHz,120,Watts,2048,MB,2015
Radeon R7 370 Gigabyte WindForce 2X OC (Rev 1.0) 2GB Edition,1440000,179.2GB/sec,1400 MHz,AMD,149,975,MHz,110,Watts,2048,MB,2015
Radeon R7 370 Asus DirectCU II OC Strix Gaming 2GB Edition,1440000,179.2GB/sec,1400 MHz,AMD,,1000,MHz,150,Watts,2048,MB,2015
Radeon R7 370,1440000,179.2GB/sec,1400 MHz,AMD,149,925,MHz,110,Watts,2048,MB,2015
Radeon R7 360 v2 Sapphire Nitro 2GB Edition,1440000,104GB/sec,1625 MHz,AMD,,1060,MHz,150,Watts,2048,MB,2015
Radeon R7 360 v3,1440000,112GB/sec,1750 MHz,AMD,,1050,MHz,100,Watts,2048,MB,2015
Radeon R7 360 XFX Double Dissipation Best Buy 2GB Edition,1440000,96GB/sec,1500 MHz,AMD,,1100,MHz,100,Watts,2048,MB,2015
Radeon R7 360 v2 MSI OC 2GB Edition,1440000,104GB/sec,1625 MHz,AMD,114,1050,MHz,100,Watts,2048,MB,2015
Radeon R7 360 XFX Double Dissipation 2GB Edition,1440000,96GB/sec,1500 MHz,AMD,,1050,MHz,100,Watts,2048,MB,2015
Radeon R7 360 v2 PowerColor OC 2GB Edition,1440000,105.6GB/sec,1650 MHz,AMD,,1060,MHz,100,Watts,2048,MB,2015
Radeon R7 360 XFX Core 2GB Edition,1440000,96GB/sec,1500 MHz,AMD,,1050,MHz,100,Watts,2048,MB,2015
Radeon R7 360 v2 HIS iCooler 2GB Edition,1440000,104GB/sec,1625 MHz,AMD,,1070,MHz,100,Watts,2048,MB,2015
Radeon R7 360 Sapphire OC 2GB Edition,1440000,96GB/sec,1500 MHz,AMD,109,1060,MHz,150,Watts,2048,MB,2015
Radeon R7 360 v2 Gigabyte OC 2GB Edition,1440000,104GB/sec,1625 MHz,AMD,109,1200,MHz,150,Watts,2048,MB,2015
Radeon R7 360 Crossfire,2073600,192GB/sec,1500 MHz,AMD,218,1050,MHz,200,Watts,4096,MB,2015
Radeon R7 360 HIS GREEN iCooler OC 2GB Edition,1440000,96GB/sec,1500 MHz,AMD,,1070,MHz,50,Watts,2048,MB,2016
Radeon R7 360 v2 Asus OC 2GB Edition,1440000,104GB/sec,1625 MHz,AMD,,1070,MHz,100,Watts,2048,MB,2015
Radeon R7 340 (OEM),1049088,28.8GB/sec,900 MHz,AMD,,730,MHz,50,Watts,2048,MB,2015
Radeon R7 360 v2,1440000,104GB/sec,1625 MHz,AMD,,1050,MHz,100,Watts,2048,MB,2015
Radeon R5 340 (OEM),1049088,72GB/sec,1125 MHz,AMD,,800,MHz,65,Watts,2048,MB,2015
Radeon R5 330 (OEM),1049088,28.8GB/sec,900 MHz,AMD,,830,MHz,50,Watts,2048,MB,2015
Radeon R7 360,1440000,96GB/sec,1500 MHz,AMD,109,1050,MHz,75,Watts,2048,MB,2015
Radeon R7 350 [not released],1440000,73.6GB/sec,1150 MHz,AMD,89,1000,MHz,65,Watts,2048,MB,2015
Radeon R9 290X XFX Black Edition,3686400,320GB/sec,1250 MHz,AMD,,1050,MHz,300,Watts,4096,MB,2013
Radeon Pro Duo 8GB [not released],8294400,1024GB/sec,500 MHz,AMD,1499,1000,MHz,350,Watts,8192,MB,2016
Radeon R9 290X Sapphire Vapor-X 8GB Edition,3686400,352GB/sec,1375 MHz,AMD,,1030,MHz,290,Watts,8192,MB,2014
Radeon R9 290X Sapphire Vapor-X Tri-X OC 4GB Edition,3686400,361GB/sec,1410 MHz,AMD,,1080,MHz,290,Watts,4096,MB,2014
Radeon R9 290X PowerColor PCS+ 4GB Edition Crossfire,3686400,691.2GB/sec,1350 MHz,AMD,,1040,MHz,,,8192,MB,2014
Radeon R9 290X Sapphire Tri-X OC Edition,3686400,332.8GB/sec,1300 MHz,AMD,,1040,MHz,290,Watts,4096,MB,2013
Radeon R7 350 (OEM),1440000,73.6GB/sec,1150 MHz,AMD,,1000,MHz,65,Watts,1024,MB,2015
Radeon R9 290X PowerColor PCS+ 4GB Edition,3686400,345.6GB/sec,1350 MHz,AMD,,1040,MHz,290,Watts,4096,MB,2014
Radeon R9 290X PowerColor OC Edition,3686400,320GB/sec,1250 MHz,AMD,,1030,MHz,,,4096,MB,2013
Radeon R9 290X MSI Lightning Edition,3686400,320GB/sec,1250 MHz,AMD,,1080,MHz,290,Watts,4096,MB,2014
Radeon R9 290X MSI Gaming Edition Crossfire,8294400,640GB/sec,1250 MHz,AMD,,1040,MHz,580,Watts,8192,MB,2013
Radeon R9 290X MSI Gaming Edition,3686400,320GB/sec,1250 MHz,AMD,,1040,MHz,290,Watts,4096,MB,2013
Radeon R9 290X Gigabyte WindForce 3X OC Edition Crossfire,8294400,640GB/sec,1250 MHz,AMD,,1040,MHz,,,8192,MB,2013
Radeon R9 290X MSI Gaming 8GB Edition,3686400,320GB/sec,1250 MHz,AMD,,1040,MHz,290,Watts,8192,MB,2014
Radeon R9 290X Club3D royalKing Edition,3686400,320GB/sec,1250 MHz,AMD,,1030,MHz,250,Watts,4096,MB,2013
Radeon R9 290X Crossfire,9216000,640GB/sec,1250 MHz,AMD,,1000,MHz,500,Watts,8192,MB,2013
Radeon R9 290X Asus DirectCU II OC Edition Crossfire,9216000,691.2GB/sec,1350 MHz,AMD,,1050,MHz,600,Watts,8192,MB,2013
Radeon R9 290X Asus DirectCU II OC Edition,3686400,345.6GB/sec,1350 MHz,AMD,,1050,MHz,300,Watts,4096,MB,2013
Radeon R9 290X Gigabyte WindForce 3X OC Edition,3686400,320GB/sec,1250 MHz,AMD,,1040,MHz,290,Watts,4096,MB,2013
Radeon R9 290X,3686400,320GB/sec,1250 MHz,AMD,549,1000,MHz,290,Watts,4096,MB,2013
Radeon R9 290X Asus ROG Matrix Platinum Edition,3686400,345.6GB/sec,1350 MHz,AMD,,1050,MHz,375,Watts,4096,MB,2014
Radeon R9 290 XFX Black Edition,3686400,320GB/sec,1250 MHz,AMD,,980,MHz,250,Watts,4096,MB,2013
Radeon R9 290X Asus DirectCU II Edition,3686400,320GB/sec,1250 MHz,AMD,,1000,MHz,300,Watts,4096,MB,2014
Radeon R9 290 Sapphire Vapor-X OC Edition,3686400,358.4GB/sec,1400 MHz,AMD,,1030,MHz,275,Watts,4096,MB,2014
Radeon R9 290 XFX Double Dissipation Edition,3686400,320GB/sec,1250 MHz,AMD,,947,MHz,250,Watts,4096,MB,2013
Radeon R9 290 VTX3D X-Edition,3686400,320GB/sec,1250 MHz,AMD,,975,MHz,250,Watts,4096,MB,2013
Radeon R9 290 Sapphire Tri-X OC Edition,3686400,332.8GB/sec,1300 MHz,AMD,,1000,MHz,275,Watts,4096,MB,2013
Radeon R9 290 PowerColor OC Edition,3686400,320GB/sec,1250 MHz,AMD,,975,MHz,250,Watts,4096,MB,2013
Radeon R9 290 MSI Gaming Edition,3686400,320GB/sec,1250 MHz,AMD,,1007,MHz,275,Watts,4096,MB,2013
Radeon R9 290 Sapphire Tri-X OC Edition Crossfire,4096000,665.6GB/sec,1300 MHz,AMD,,1000,MHz,550,Watts,8192,MB,2013
Radeon R9 290 Sapphire BF4 Edition,3686400,320GB/sec,1250 MHz,AMD,,947,MHz,275,Watts,4096,MB,2013
Radeon R9 290 PowerColor PCS+ Edition,3686400,345.6GB/sec,1350 MHz,AMD,,1040,MHz,275,Watts,4096,MB,2014
Radeon R9 290 Gigabyte WindForce 3X OC Edition Crossfire,8294400,640GB/sec,1250 MHz,AMD,,1040,MHz,,,8192,MB,2013
Radeon R9 290 Gigabyte WindForce 3X OC Edition,3686400,320GB/sec,1250 MHz,AMD,,1040,MHz,275,Watts,4096,MB,2013
Radeon R9 290 Club3D royalAce 4GB Edition,3686400,320GB/sec,1250 MHz,AMD,,1040,MHz,275,Watts,4096,MB,2013
Radeon R9 290 Club3D royalKing 4GB Edition,3686400,320GB/sec,1250 MHz,AMD,,975,MHz,250,Watts,4096,MB,2013
Radeon R9 290 Asus DirectCU II OC Edition,3686400,320GB/sec,1250 MHz,AMD,,1000,MHz,275,Watts,4096,MB,2014
Radeon R9 285 Sapphire ITX Compact OC 2GB Edition,2073600,179.2GB/sec,1400 MHz,AMD,,928,MHz,190,Watts,2048,MB,2014
Radeon R9 285 XFX Double D 2GB Edition,2073600,176GB/sec,1375 MHz,AMD,,918,MHz,190,Watts,2048,MB,2014
Radeon R9 290 Crossfire,4096000,640GB/sec,1250 MHz,AMD,,947,MHz,550,Watts,8192,MB,2013
Radeon R9 285 Sapphire Dual-X 2GB Edition,2073600,176GB/sec,1375 MHz,AMD,,918,MHz,190,Watts,2048,MB,2014
Radeon R9 290,3686400,320GB/sec,1250 MHz,AMD,399,947,MHz,275,Watts,4096,MB,2013
Radeon R9 285 Sapphire ITX Compact 2GB Edition,2073600,176GB/sec,1375 MHz,AMD,,918,MHz,190,Watts,2048,MB,2014
Radeon R9 285 Sapphire Dual-X OC 2GB Edition,2073600,179.2GB/sec,1400 MHz,AMD,270,965,MHz,190,Watts,2048,MB,2014
Radeon R9 285 Club3D royalQueen 2GB Edition,2073600,176GB/sec,1375 MHz,AMD,,945,MHz,190,Watts,2048,MB,2014
Radeon R9 285 PowerColor TurboDuo OC 2GB Edition,2073600,176GB/sec,1375 MHz,AMD,,945,MHz,190,Watts,2048,MB,2014
Radeon R9 285 MSI Gaming 2GB Edition,2073600,179.2GB/sec,1400 MHz,AMD,,973,MHz,190,Watts,2048,MB,2014
Radeon R9 285 Asus Strix OC 2GB Edition,2073600,179.2GB/sec,1400 MHz,AMD,,954,MHz,190,Watts,2048,MB,2014
Radeon R9 285 2GB,2073600,176GB/sec,1375 MHz,AMD,249,918,MHz,190,Watts,2048,MB,2014
Radeon R9 280X XFX Double D 3GB Edition,2073600,288GB/sec,1500 MHz,AMD,,850,MHz,250,Watts,3072,MB,2013
Radeon R9 280X XFX Double D Black Edition,2073600,297.6GB/sec,1550 MHz,AMD,,1000,MHz,250,Watts,3072,MB,2013
Radeon R9 285 Gigabyte WindForce 2X OC 2GB Edition,2073600,179.2GB/sec,1400 MHz,AMD,,973,MHz,190,Watts,2048,MB,2014
Radeon R9 280X VisionTek 3GB Edition,2073600,288GB/sec,1500 MHz,AMD,,850,MHz,250,Watts,3072,MB,2013
Radeon R9 280X Sapphire Vapor-X 3GB OC Edition Crossfire,3686400,595.2GB/sec,1550 MHz,AMD,,,,500,Watts,6144,MB,2013
Radeon R9 280X Sapphire TRI-X OC 3GB Edition,2073600,288GB/sec,1500 MHz,AMD,,1020,MHz,250,Watts,3072,MB,2013
Radeon R9 280X Sapphire Vapor-X 3GB TRI-X OC Edition,2073600,288GB/sec,1500 MHz,AMD,,1000,MHz,250,Watts,3072,MB,2014
Radeon R9 280X Sapphire Toxic 3GB OC Edition,2073600,307.2GB/sec,1600 MHz,AMD,,1100,MHz,250,Watts,3072,MB,2013
Radeon R9 280X MSI Gaming 6GB Edition,2073600,288GB/sec,1500 MHz,AMD,,1000,MHz,250,Watts,6144,MB,2014
Radeon R9 280X Sapphire Dual-X 3GB OC Edition,2073600,288GB/sec,1500 MHz,AMD,,870,MHz,250,Watts,3072,MB,2013
Radeon R9 280X Sapphire Vapor-X 3GB OC Edition,2073600,297.6GB/sec,1550 MHz,AMD,,950,MHz,250,Watts,3072,MB,2013
Radeon R9 280X MSI Gaming 3GB Edition,2073600,288GB/sec,1500 MHz,AMD,,1000,MHz,250,Watts,3072,MB,2013
Radeon R9 280X HIS iPower IceQ X² Edition,2073600,288GB/sec,1500 MHz,AMD,,1000,MHz,250,Watts,3072,MB,2013
Radeon R9 280X PowerColor TurboDuo 3GB OC Edition,2073600,288GB/sec,1500 MHz,AMD,,880,MHz,250,Watts,3072,MB,2013
Radeon R9 280X Gigabyte 3GB OC Edition,2073600,288GB/sec,1500 MHz,AMD,,1000,MHz,250,Watts,3072,MB,2013
Radeon R9 280X Matrix Platinum 3GB Edition,2073600,307.2GB/sec,1600 MHz,AMD,,950,MHz,375,Watts,3072,MB,2013
Radeon R9 280X Club3D royalKing Edition,2073600,288GB/sec,1500 MHz,AMD,,1000,MHz,280,Watts,3072,MB,2013
Radeon R9 280X Crossfire,2073600,576GB/sec,1500 MHz,AMD,,,,550,Watts,6144,MB,2013
Radeon R9 280X DirectCU II TOP 3GB Edition,2073600,307.2GB/sec,1600 MHz,AMD,,970,MHz,250,Watts,3072,MB,2013
Radeon R9 280X Club3D royalQueen Edition,2073600,288GB/sec,1500 MHz,AMD,,925,MHz,280,Watts,3072,MB,2013
Radeon R9 280X Asus Matrix 3GB Edition,2073600,288GB/sec,1500 MHz,AMD,,850,MHz,250,Watts,3072,MB,2013
Radeon R9 280 XFX Double D Black 3GB Edition,2073600,249.6GB/sec,1300 MHz,AMD,,933,MHz,200,Watts,3072,MB,2014
Radeon R9 280 PowerColor TurboDuo OC 3GB Edition,2073600,240GB/sec,1250 MHz,AMD,,855,MHz,200,Watts,3072,MB,2014
Radeon R9 280 HIS IceQ OC 3GB Edition,2073600,240GB/sec,1250 MHz,AMD,,847,MHz,200,Watts,3072,MB,2014
Radeon R9 280 Gigabyte WindForce 3X OC 3GB Edition,2073600,240GB/sec,1250 MHz,AMD,,950,MHz,225,Watts,3072,MB,2014
Radeon R9 280 MSI Gaming 3GB Edition,2073600,240GB/sec,1250 MHz,AMD,,933,MHz,200,Watts,3072,MB,2014
Radeon R9 280 Club3D royalKing 3GB Edition,2073600,240GB/sec,1250 MHz,AMD,,855,MHz,200,Watts,3072,MB,2014
Radeon R9 280 Asus DirectCU II TOP 3GB Edition,2073600,249.6GB/sec,1300 MHz,AMD,,874,MHz,200,Watts,3072,MB,2014
Radeon R9 280 Sapphire Dual-X OC 3GB Edition,2073600,240GB/sec,1250 MHz,AMD,,850,MHz,200,Watts,3072,MB,2014
Radeon R9 280X,2073600,288GB/sec,1500 MHz,AMD,299,850,MHz,250,Watts,3072,MB,2013
Radeon R9 280 Crossfire,4096000,480GB/sec,1250 MHz,AMD,,,,400,Watts,6144,MB,2014
Radeon R9 270X XFX Double D 4GB Edition,2073600,179.2GB/sec,1400 MHz,AMD,,1000,MHz,180,Watts,4096,MB,2013
Radeon R9 270X XFX Double D Black Edition,2073600,185.6GB/sec,1450 MHz,AMD,,1050,MHz,180,Watts,2048,MB,2013
Radeon R9 270X Sapphire Vapor-X 2GB OC Edition,2073600,185.6GB/sec,1450 MHz,AMD,,1050,MHz,180,Watts,2048,MB,2013
Radeon R9 270X VTX3D v2 2GB X-Edition,2073600,179.2GB/sec,1400 MHz,AMD,,1030,MHz,180,Watts,2048,MB,2013
Radeon R9 270X Sapphire Toxic 2GB OC Edition,2073600,192GB/sec,1500 MHz,AMD,,1100,MHz,180,Watts,2048,MB,2013
Radeon R9 270X Sapphire Dual-X 4GB OC Edition,2073600,179.2GB/sec,1400 MHz,AMD,,1020,MHz,180,Watts,4096,MB,2013
Radeon R9 270X Sapphire Dual-X 2GB OC Edition,2073600,179.2GB/sec,1400 MHz,AMD,,1020,MHz,180,Watts,2048,MB,2013
Radeon R9 280,2073600,240GB/sec,1250 MHz,AMD,279,827,MHz,200,Watts,3072,MB,2014
Radeon R9 270X Sapphire Black Diamond 2GB Edition,2073600,192GB/sec,1500 MHz,AMD,,1100,MHz,180,Watts,2048,MB,2014
Radeon R9 270X PowerColor PCS+ Edition,2073600,182.4GB/sec,1425 MHz,AMD,,1060,MHz,180,Watts,2048,MB,2013
Radeon R9 270X MSI Hawk Edition,2073600,179.2GB/sec,1400 MHz,AMD,,1100,MHz,180,Watts,2048,MB,2013
Radeon R9 270X PowerColor 2GB OC TurboDuo Edition,2073600,179.2GB/sec,1400 MHz,AMD,,1030,MHz,180,Watts,2048,MB,2013
Radeon R9 270X PowerColor Devil Edition,2073600,179.2GB/sec,1400 MHz,AMD,,1150,MHz,180,Watts,2048,MB,2013
Radeon R9 270X MSI Gaming 4GB Edition Crossfire,2073600,358.4GB/sec,1400 MHz,AMD,,1030,MHz,,,8192,MB,2013
Radeon R9 270X MSI Gaming 2GB Edition Crossfire,2073600,358.4GB/sec,1400 MHz,AMD,,1030,MHz,180,Watts,4096,MB,2013
Radeon R9 270X PowerColor 2GB OC Edition,2073600,179.2GB/sec,1400 MHz,AMD,,1030,MHz,180,Watts,2048,MB,2013
Radeon R9 270X MSI Gaming ITX 2GB Edition,2073600,179.2GB/sec,1400 MHz,AMD,,1030,MHz,180,Watts,2048,MB,2014
Radeon R9 270X HIS IceQ X2 Turbo Edition,2073600,179.2GB/sec,1400 MHz,AMD,,1100,MHz,180,Watts,2048,MB,2013
Radeon R9 270X Gigabyte 4GB OC Edition Crossfire,2073600,358.4GB/sec,1400 MHz,AMD,,1050,MHz,180,Watts,8192,MB,2013
Radeon R9 270X MSI Gaming 2GB Edition,2073600,179.2GB/sec,1400 MHz,AMD,,1030,MHz,180,Watts,2048,MB,2013
Radeon R9 270X Club3D royalQueen Edition,2073600,179.2GB/sec,1400 MHz,AMD,,1030,MHz,175,Watts,2048,MB,2013
Radeon R9 270X Gigabyte 4GB OC Edition,2073600,179.2GB/sec,1400 MHz,AMD,,1050,MHz,180,Watts,4096,MB,2013
Radeon R9 270X Gigabyte 2GB OC Edition,2073600,179.2GB/sec,1400 MHz,AMD,,1050,MHz,180,Watts,2048,MB,2013
Radeon R9 270X,2073600,179.2GB/sec,1400 MHz,AMD,199,1000,MHz,180,Watts,2048,MB,2013
Radeon R9 270X Asus DirectCU II 4GB Edition,2073600,179.2GB/sec,1400 MHz,AMD,,1050,MHz,225,Watts,4096,MB,2013
Radeon R9 270X Crossfire,2073600,358.4GB/sec,1400 MHz,AMD,,1000,MHz,360,Watts,4096,MB,2013
Radeon R9 270 XFX Double D 2GB Edition,2073600,179.2GB/sec,1400 MHz,AMD,,900,MHz,150,Watts,2048,MB,2013
Radeon R9 270 Sapphire Dual-X 2GB OC Edition,2073600,179.2GB/sec,1400 MHz,AMD,,920,MHz,,,2048,MB,2013
Radeon R9 270X MSI Gaming 4GB Edition,2073600,179.2GB/sec,1400 MHz,AMD,,1030,MHz,180,Watts,4096,MB,2013
Radeon R9 270 PowerColor 2GB OC Edition,2073600,179.2GB/sec,1400 MHz,AMD,,930,MHz,,,2048,MB,2013
Radeon R9 270 MSI Gaming 2GB Edition,2073600,179.2GB/sec,1400 MHz,AMD,,900,MHz,175,Watts,2048,MB,2013
Radeon R9 270 v2,2073600,179.2GB/sec,1400 MHz,AMD,,900,MHz,150,Watts,2048,MB,2015
Radeon R9 270 DirectCU II OC Edition,2073600,179.2GB/sec,1400 MHz,AMD,,950,MHz,175,Watts,2048,MB,2013
Radeon R9 270 HIS IceQ X² Turbo Edition,2073600,179.2GB/sec,1400 MHz,AMD,,950,MHz,175,Watts,2048,MB,2013
